material,process,power,velocity,hatch_spacing,energy_density,layer_thickness,beam_diameter,density,specific_heat_capacity,k,melting_temperature,absorption_coefficient,minimal_absorptivity,melt_pool_shape,spatter,weight_percent_Zn,weight_percent_Mg,weight_percent_Si,weight_percent_Al,weight_percent_Sn,weight_percent_Zr,weight_percent_W,weight_percent_Ti,weight_percent_V,weight_percent_Co,weight_percent_Cu,weight_percent_Ta,weight_percent_Nb,weight_percent_Ni,weight_percent_Cr,weight_percent_Fe,weight_percent_Mn,weight_percent_Mo,paper_id,paper_url,porosity,relative_density,comments
IN718,PBF,285,960,500,,70,100,8190,435,11.2,1400,0.1792122006,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,100,200,500,,70,100,8190,435,11.2,1400,0.3018474359,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,100,400,500,,70,100,8190,435,11.2,1400,0.150923718,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,100,600,500,,70,100,8190,435,11.2,1400,0.1006417172,0.178,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,100,800,500,,70,100,8190,435,11.2,1400,0.07546185898,0.178,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,100,1000,500,,70,100,8190,435,11.2,1400,0.06038503031,0.178,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,150,200,500,,70,100,8190,435,11.2,1400,0.4527711539,0.178,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,150,400,500,,70,100,8190,435,11.2,1400,0.226385577,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,150,600,500,,70,100,8190,435,11.2,1400,0.150923718,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,150,800,500,,70,100,8190,435,11.2,1400,0.1132316463,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,150,1000,500,,70,100,8190,435,11.2,1400,0.09053868766,0.178,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,150,1200,500,,70,100,8190,435,11.2,1400,0.07546185898,0.178,LOF,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,200,200,500,,70,100,8190,435,11.2,1400,0.6036948719,0.178,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,200,400,500,,70,100,8190,435,11.2,1400,0.3018474359,0.178,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,200,600,500,,70,100,8190,435,11.2,1400,0.2012057188,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,200,800,500,,70,100,8190,435,11.2,1400,0.150923718,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,200,1000,500,,70,100,8190,435,11.2,1400,0.1207700606,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,200,1200,500,,70,100,8190,435,11.2,1400,0.1006417172,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,250,200,500,,70,100,8190,435,11.2,1400,0.7546185898,0.178,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,250,400,500,,70,100,8190,435,11.2,1400,0.3773092949,0.178,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,250,600,500,,70,100,8190,435,11.2,1400,0.2515654351,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,250,800,500,,70,100,8190,435,11.2,1400,0.1886935053,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,250,1000,500,,70,100,8190,435,11.2,1400,0.150923718,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,250,1200,500,,70,100,8190,435,11.2,1400,0.1257438598,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,250,1400,500,,70,100,8190,435,11.2,1400,0.1077915535,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,300,400,500,,70,100,8190,435,11.2,1400,0.4527711539,0.178,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,300,600,500,,70,100,8190,435,11.2,1400,0.3018474359,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,300,800,500,,70,100,8190,435,11.2,1400,0.226385577,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,300,1000,500,,70,100,8190,435,11.2,1400,0.1810773753,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,300,1200,500,,70,100,8190,435,11.2,1400,0.150923718,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,300,1400,500,,70,100,8190,435,11.2,1400,0.1293964935,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,370,400,500,,70,100,8190,435,11.2,1400,0.5583866702,0.178,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,370,800,500,,70,100,8190,435,11.2,1400,0.2792321929,0.178,keyhole,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,370,1000,500,,70,100,8190,435,11.2,1400,0.2233546681,0.178,desirable,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,370,1200,500,,70,100,8190,435,11.2,1400,0.1861288901,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
IN718,PBF,370,1400,500,,70,100,8190,435,11.2,1400,0.1595501509,0.178,balling,,0,0,0,0,0,1,0,0,0,0,0,0,5.5,55,21,0,0,3.3,32,,,,
Ti-6Al-4V,PBF,520,1100,,,,95,4470.5,561.5,7.2,1649,0.5351497023,0.26,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,
Ti-6Al-4V,PBF,150,1200,,,,95,4470.5,561.5,7.2,1649,0.1415201289,0.26,desirable,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,
Ti-6Al-4V,PBF,200,1200,,,,95,4470.5,561.5,7.2,1649,0.1886935053,0.26,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,
Ti-6Al-4V,PBF,250,1200,,,,95,4470.5,561.5,7.2,1649,0.2358668816,0.26,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,
Ti-6Al-4V,PBF,300,1200,,,,95,4470.5,561.5,7.2,1649,0.2830402579,0.26,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,
Ti-6Al-4V,PBF,350,1200,,,,95,4470.5,561.5,7.2,1649,0.3302136342,0.26,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,
Ti-6Al-4V,PBF,450,1200,,,,95,4470.5,561.5,7.2,1649,0.4245603868,0.26,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,
Ti-6Al-4V,PBF,520,1200,,,,95,4470.5,561.5,7.2,1649,0.4905409412,0.26,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,
Ti-6Al-4V,PBF,40,400,,,60,39,4470.5,561.5,7.2,1649,0.6717737477,0.26,LOF,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,
Ti-6Al-4V,PBF,160,1000,,,60,39,4470.5,561.5,7.2,1649,1.07480691,0.26,LOF,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,
Ti-6Al-4V,PBF,80,400,,,60,39,4470.5,561.5,7.2,1649,1.34346978,0.26,desirable,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,
Ti-6Al-4V,PBF,120,400,,,60,39,4470.5,561.5,7.2,1649,2.015243528,0.26,desirable,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,
Ti-6Al-4V,PBF,160,400,,,60,39,4470.5,561.5,7.2,1649,2.68693956,0.26,desirable,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,
SS316L,PBF,45,400,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,45,900,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,45,1400,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,45,1900,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,45,2400,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,45,2900,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,45,3400,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,130,400,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,130,900,,,,,8000,500,16.3,1415,,0.33,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,130,1400,,,,,8000,500,16.3,1415,,0.33,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,130,1900,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,130,2400,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,130,2900,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,130,3400,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,220,400,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,220,900,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,220,1400,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,220,1900,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,220,2400,,,,,8000,500,16.3,1415,,0.33,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,220,2900,,,,,8000,500,16.3,1415,,0.33,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,220,3400,,,,,8000,500,16.3,1415,,0.33,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,300,400,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,300,900,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,300,1400,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,300,1900,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,300,2400,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,300,2900,,,,,8000,500,16.3,1415,,0.33,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS316L,PBF,300,3400,,,,,8000,500,16.3,1415,,0.33,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,
SS17-4PH,PBF,45,400,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,45,900,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,45,1400,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,45,1900,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,45,2400,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,45,2900,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,45,3400,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,130,400,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,130,900,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,130,1400,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,130,1900,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,130,2400,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,130,2900,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,130,3400,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,220,400,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,220,900,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,220,1400,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,220,1900,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,220,2400,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,220,2900,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,220,3400,,,,,7750,460,17.9,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,300,400,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,300,900,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,300,1400,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,300,1900,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,300,2400,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,300,2900,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS17-4PH,PBF,300,3400,,,,,7750,460,17.9,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,
SS304L,PBF,45,400,,,,,8030,500,16.2,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
SS304L,PBF,45,900,,,,,8030,500,16.2,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
SS304L,PBF,45,1400,,,,,8030,500,16.2,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
SS304L,PBF,45,1900,,,,,8030,500,16.2,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
SS304L,PBF,45,2400,,,,,8030,500,16.2,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
SS304L,PBF,45,2900,,,,,8030,500,16.2,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
SS304L,PBF,45,3400,,,,,8030,500,16.2,1420,,,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
SS304L,PBF,130,400,,,,,8030,500,16.2,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
SS304L,PBF,130,900,,,,,8030,500,16.2,1420,,,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,70,2,0,49,,,,
